Location,Year,Crime,Total cases
Zaragoza,2019,Kidnapping,0
Rioja,2019,Intentional homicides and consummated murders,0
Rioja,2019,Kidnapping,0
Salamanca,2019,Intentional homicides and consummated murders,0
Segovia,2019,Kidnapping,0
Melilla,2019,Kidnapping,0
Salamanca,2019,Kidnapping,1
Segovia,2019,Intentional homicides and consummated murders,1
Ceuta,2019,Sexual assault with penetration,1
Melilla,2019,Intentional homicides and consummated murders,1
Barcelona,2019,Kidnapping,2
Valencia,2019,Kidnapping,2
Spain,2019,Kidnapping,2
Alicante,2019,Kidnapping,2
Cordoba,2019,Kidnapping,2
Granada,2019,Kidnapping,2
Salamanca,2019,Intentional homicides and attempted murders,2
Segovia,2019,Intentional homicides and attempted murders,2
Ceuta,2019,Kidnapping,2
Murcia,2019,Kidnapping,3
Segovia,2019,Sexual assault with penetration,3
Zaragoza,2019,Intentional homicides and consummated murders,4
Ceuta,2019,Intentional homicides and consummated murders,4
Rioja,2019,Intentional homicides and attempted murders,5
Melilla,2019,Sexual assault with penetration,5
Spain,2019,Intentional homicides and consummated murders,6
Salamanca,2019,Sexual assault with penetration,6
Zaragoza,2019,Intentional homicides and attempted murders,7
Cordoba,2019,Intentional homicides and consummated murders,7
Seville,2019,Kidnapping,8
Melilla,2019,Intentional homicides and attempted murders,8
Seville,2019,Intentional homicides and consummated murders,9
Rioja,2019,Sexual assault with penetration,9
Malaga,2019,Kidnapping,11
Cordoba,2019,Intentional homicides and attempted murders,11
Granada,2019,Intentional homicides and consummated murders,12
Murcia,2019,Intentional homicides and consummated murders,13
Alicante,2019,Intentional homicides and consummated murders,14
Madrid,2019,Kidnapping,16
Spain,2019,Intentional homicides and attempted murders,16
Ceuta,2019,Intentional homicides and attempted murders,16
Zaragoza,2019,Sexual assault with penetration,20
Granada,2019,Intentional homicides and attempted murders,20
Segovia,2019,Vehicle theft,20
Cordoba,2019,Sexual assault with penetration,21
Ceuta,2019,Other crimes against freedom and sexual indemnity,22
Valencia,2019,Intentional homicides and consummated murders,23
Ceuta,2019,Crimes against freedom and sexual indemnity,23
Malaga,2019,Intentional homicides and attempted murders,24
Segovia,2019,Robbery with violence and intimidation,24
Murcia,2019,Intentional homicides and attempted murders,25
Malaga,2019,Intentional homicides and consummated murders,25
Melilla,2019,Other crimes against freedom and sexual indemnity,28
Madrid,2019,Intentional homicides and consummated murders,32
Granada,2019,Sexual assault with penetration,32
Melilla,2019,Crimes against freedom and sexual indemnity,33
Spain,2019,Sexual assault with penetration,35
Alicante,2019,Intentional homicides and attempted murders,35
Segovia,2019,Serious and less serious crimes of injuries and riotous brawl,37
Seville,2019,Intentional homicides and attempted murders,40
Malaga,2019,Sexual assault with penetration,42
Ceuta,2019,Robberies with force in homes,42
Segovia,2019,Drug trafficking,43
Ceuta,2019,Serious and less serious crimes of injuries and riotous brawl,44
Barcelona,2019,Intentional homicides and consummated murders,45
Salamanca,2019,Vehicle theft,46
Segovia,2019,Other crimes against freedom and sexual indemnity,46
Murcia,2019,Sexual assault with penetration,49
Segovia,2019,Crimes against freedom and sexual indemnity,49
Seville,2019,Sexual assault with penetration,54
Salamanca,2019,Other crimes against freedom and sexual indemnity,59
Salamanca,2019,Drug trafficking,62
Melilla,2019,Drug trafficking,63
Salamanca,2019,Crimes against freedom and sexual indemnity,65
Valencia,2019,Intentional homicides and attempted murders,66
Rioja,2019,Vehicle theft,68
Melilla,2019,Robberies with force in homes,71
Melilla,2019,Vehicle theft,76
Madrid,2019,Intentional homicides and attempted murders,78
Valencia,2019,Sexual assault with penetration,82
Rioja,2019,Other crimes against freedom and sexual indemnity,83
Alicante,2019,Sexual assault with penetration,85
Salamanca,2019,Serious and less serious crimes of injuries and riotous brawl,86
Ceuta,2019,Burglaries with force in homes,88
Rioja,2019,Robbery with violence and intimidation,90
Rioja,2019,Crimes against freedom and sexual indemnity,92
Salamanca,2019,Robbery with violence and intimidation,99
Rioja,2019,Drug trafficking,104
Melilla,2019,Burglaries with force in homes,131
Barcelona,2019,Intentional homicides and attempted murders,142
Rioja,2019,Serious and less serious crimes of injuries and riotous brawl,144
Ceuta,2019,Robbery with violence and intimidation,145
Melilla,2019,Serious and less serious crimes of injuries and riotous brawl,146
Ceuta,2019,Vehicle theft,168
Cordoba,2019,Other crimes against freedom and sexual indemnity,184
Segovia,2019,Robberies with force in homes,195
Cordoba,2019,Serious and less serious crimes of injuries and riotous brawl,203
Cordoba,2019,Crimes against freedom and sexual indemnity,205
Granada,2019,Other crimes against freedom and sexual indemnity,208
Zaragoza,2019,Vehicle theft,220
Zaragoza,2019,Other crimes against freedom and sexual indemnity,222
Granada,2019,Crimes against freedom and sexual indemnity,240
Zaragoza,2019,Crimes against freedom and sexual indemnity,242
Madrid,2019,Sexual assault with penetration,243
Spain,2019,Other crimes against freedom and sexual indemnity,254
Zaragoza,2019,Drug trafficking,262
Cordoba,2019,Vehicle theft,288
Spain,2019,Crimes against freedom and sexual indemnity,289
Cordoba,2019,Drug trafficking,291
Ceuta,2019,Drug trafficking,297
Spain,2019,Drug trafficking,307
Granada,2019,Serious and less serious crimes of injuries and riotous brawl,330
Murcia,2019,Drug trafficking,356
Salamanca,2019,Robberies with force in homes,361
Melilla,2019,Robbery with violence and intimidation,373
Spain,2019,Serious and less serious crimes of injuries and riotous brawl,377
Segovia,2019,Burglaries with force in homes,381
Barcelona,2019,Sexual assault with penetration,412
Granada,2019,Vehicle theft,433
Rioja,2019,Robberies with force in homes,437
Zaragoza,2019,Serious and less serious crimes of injuries and riotous brawl,450
Murcia,2019,Other crimes against freedom and sexual indemnity,482
Cordoba,2019,Robbery with violence and intimidation,490
Seville,2019,Other crimes against freedom and sexual indemnity,496
Seville,2019,Drug trafficking,519
Malaga,2019,Other crimes against freedom and sexual indemnity,523
Murcia,2019,Crimes against freedom and sexual indemnity,531
Salamanca,2019,Burglaries with force in homes,531
Seville,2019,Crimes against freedom and sexual indemnity,550
